,words,sentiments
1839,  we dey hia  we strong kakaraka  dis season go plum ,Positive
1840,second half don start  make una continue to dey pepper dem  boys  1  0 ,Negative
1841,   half time ref don fire whistle say make we go rest small  zaniolo header for 32 minutes na give us lead    1  0 ,Negative
1842,no be by tweet tweet oh  you sef support us to win oh,Positive
1843,subs our super subs dem ontop bench ,Positive
1844,sweet sweet shake bodi by zaniolo and dzeko wit di goal  skemp all goals wey don score for for roma tv   ,Positive
1845,win fess nah   ,Positive
1846,na players wey dey available for tomorrow be dis  diego perotti don com back and sabi striker edin dzeko dey di package ,Positive
1847,two years ago  edin džeko bin tear net wit dis sweet volley against chelsea ,Positive
1848,sabi pikin nicolo zaniolo don enta shortlist for award of small pikin player sabi pass for europe for 2019   ,Negative
1849,dis early mormor edin dzeko bin do surgery to take correct wounjur wey hin get for hin right cheekbone and e successful ,Positive
1850,53  our 2nd half don good so far  wit chances from zaniolo  antonucci and dzeko  but na dat goal be koko    e dey com  1  1 ,Positive
1851,   2nd half we don show again  1  1 ,Negative
1852, go buy groundnut     see cutting ,Negative
1853,naso  gooooal  kluivert bin throw cross enta box but ceppitelli score for hin own post  1  1 ,Positive
1854,  how far  you be di best striker in di world  no mumu yarnings  na to bite cagliari anyhow like today o  you know as e dey go nah make we use dem release diss track,Positive
1855,admin na edo pikin  you still wan slap ,Negative
1856,you tink say e dey sweet us too ,Positive
1857,davide zappacosta get successful surgery for hin right knee wounjur  hold bodi tight  davide ,Positive
1858,   full time liendl eqwaliser bin cancel spinazzola goal for fess half as we carry juss one point follow bodi comot from austria ,Positive
1859,46  second half don start  time to finish am  boys  1  0 ,Negative
1860,   half time leonardo spinazzola goal give us lead enta break ,Negative
1861, roma now go be club wey i score goal for pass for my career  amp  team wey i tap ball for pass   but if to say i don give up afta one year wey i join bodi  all dis one no for hapun     yarn about hin career and wetin hin still wan do wit    ,Negative
1862,jersey wey sell pass today for store no dull am  na,Positive
1863,happy independence day to tacha  dj spinall  roma pidgin admin  sade  our partners the nff  amp  super eagles  sadiq umar  chined ,Positive
1864,happy independence day to all naija pikin    una be di best  continue to dey shine to di rest of di world  ,Positive
1865,surgery wey dem do for lorenzo pellegrini afta hin wounjur dey successful  di midfielder no go fit tap ball for about two months ,Positive
1866,happy independence day to you too  kenneth   ,Positive
1867,happy independence day to all naija pikin    una be di best  continue to dey shine to di rest of di world,Positive
1868,to yarn you fact ehn  we sef dey try  somtimes water dey plenti pass garri  but we still dey try   ,Negative
1869,why      we win nah   ,Positive
1870,shine your teeth szn check out 2  5   of di best pictures from for hia  ,Positive
1871,anoda 3  don enta bag  naso we dey ride go top,Positive
1872,happy baiday to di king baba francesco,Positive
1873,no time to waste time  back to work sharpaly  wen man fall na to tanda run again   ,Negative
1874,59  goal neva comot for dis match but we don try shake net many times  zaniolo almost tear net now but atalanta goalie keeper no dull hinsef  0  0 ,Positive
1875,the special roma x tokidoki lettering on the shirts tonight    x ,Positive
1876,happy baiday to dat man wey hin shot hot pass amala wey just dey comot for fire riise  we hail ,Positive
1877,our new fan  chop knuckle  ,Positive
1878,na only messi don score free kick pass kolarov since start of 2017 18 season  winch,Positive
1879,evribodi dey get dia   roma fans sef fit collect one too  1  2   from us,Positive
1880,dat feeling afta you score winning goal for lass minute   ,Positive
1881,   full time sabi striker tear net wit beta nodding for last minute of di match and we pack our three points for bag dey go house  naso   ,Positive
1882,6   since he joined roma in 2017 18  aleksandar has scored six direct free kick goals in the serie a   only lionel ,Positive
1883,49    pellegrini bin epp us get di free kick for front of box 18   and kolarov juss chook di ball for top left corner of di post  0  1 ,Positive
1884,gooooooooooooooooal    hin don do am again  kola no fit eva stop to dey tear net wit beta free kick    0  1 ,Positive
1885,   2nd half 46  we don show again  roma  show dem,Negative
1886,fess half no too plum as we no see net shake  but we also no chop goal for our side  how many goals you tink say we fit score for 2nd half ,Positive
1887,   half time referee don fire whistle for half time for dall ara  chances no plenti at all for fess half  second half go beta   ,Negative
1888,   kick off 1  we don start for bologna  na dat 3 points sure pass 0  0 ,Positive
1889,   belle dey sweet us for as we announce say we don chook biro for paper wit naija football federation sign three ,Positive
1890,no be my fault nah  di rice too sweet,Positive
1891,and we dey win souls dey go from oda serie a clubs,Positive
1892,and final final  as all man bin don dey eect  di partnership go let com play padi padi match for naija later for future  and we go look how to create roma youth academy for inside naija sef  full tori  ,Positive
1893,partnership wit naija football federation on friday mean say roma go join hand wit to take develop small pikin players dem  work wit football administration  amp  do beta for digital media mata ,Negative
1894,   belle dey sweet us for as we announce say we don chook biro for paper wit naija football federation sign three years partnership        ,Positive
1895,sabi pikin congratulobia to nicolò zaniolo as hin kolobi di most sabi player for match against istanbul basaksehir ,Positive
1896,   di players don undastand wetin i want  na important tin to get clean sheet and we dey do beta for attack sef     oga paulo fonseca,Positive
1897,   full time we score 4  goals again  dzeko  zaniolo and kluivert tear net for us afta dat own goal for fess half  daje ,Positive
1898,we don shade our new chacha third kit for our online store    you fit go buy am now for,Positive
1899,vincent candela tear net wit one kain sweet goal for 2001 wit blue jersey   ,Positive
1900,no dull am    new wallpaper for you ,Positive
1901,god bless keep up the good work ,Positive
1902, i hope say dis one go be fess inside plenti plenti wins wey we go get dis season  today  saturday  we show beta sabiness for attack  amp  we score four goals  e for even reach like seven or eight     oga paulo  ,Positive
1903, afta we don dey win 4 kondo we bin slack our sef dey lose ball anyhow  but we score four  we for even score more sef  we nid dey improve laidis for evri game     edin džeko,Positive
1904,fess w dis season    more dey com   ,Positive
1905,   full time three points don enta bag  cristante  dzeko  mkhitaryan and kluivert tear net for fess half ,Positive
1906,  2nd half match don start again  make we continue our counting abeg 4  0 ,Negative
1907,   half time cristante  dzeko  mkhitaryan and kluivert tear net for us as we dey lead enta break ,Negative
1908,fourtunate fess half ,Negative
1909,22  pellegrini dash mkhitaryan sweet pass inside box and di sabi player no waste time put am inside net  3   0  ,Positive
1910,goooooooal    džeko make am 2 kondo for us from near post  2   0  ,Positive
1911, sassuolo change dia formation plenti times lass season and we don prepare for am  i no really like our pressing games against lazio  di team bin dull dem sef small  i wan make my team dey press dem wella so dem no go fit rest  ,Negative
1912,sabi striker sabi wetin e mean to tear net against sassuolo   ,Negative
1913,oga paulo   i wan build team wey dey keep and tap ball wella  for italo  teams no dey calm down ontop possession  dem just wan run go score goal  we nid improve for ball control  amp  sense of ball  ,Negative
1914,warri no dey carry lass  how far  na di next okocha be dis o      ,Positive
1915, i bin choose roma becos na beta opportunate for me     read more for henrikh mkhitaryan s press conference      ,Positive
1916,felele      ball wey all stars wey comot for 80 s and 90 s use  na dis ball dey go anywia wey hin want  no be you dey direct am,Positive
1917,we dey hail o    awa eectations dey high as una dey come follow us tok digital and sports for   lago ,Positive
1918,na di beta time to tok digital and sports be dis  we dey happy say dey come lagos  go sweet  make pipu we ,Positive
1919,belle dey totori us for as we don get invite for di africa digital sports conference for lagos  di oga patapata of media for di club  paul rogers  go dey yarn about roma support for naija  di pidgin account  amp  dia work wit,Negative
1920,sake of say education sef dey important  na di fess club wey open school for wia dia training centre dey  so di small small pikin for di academy fit get beta learning for correct environment   ,Positive
1921, na very big opportunate for me to start anoda chapter wit dis great club  i know wetin dis club dey about and i sure say we fit achieve beta beta tinz togeda     henrikh mkhitaryan,Positive
1922,na you kuku be hin pa  brother in law and agent  who fit argue am wit you  you fit let us know hin shoe size join ,Positive
1923, dis transfer totori my belle wella  becos na big club i join  i too happy say i dey dis team and dis club  roma get big history and e make sense for me    ,Positive
1924,patrik schick don complete loan move to rb leipzig today  we dey wish you plenti plenti goals for germany  patrik ,Positive
1925,skippo florenzi   make we build somtin wey strong kakaraka from dis now  wit dis group  wey fight wella for pitch wit pride  and wey get swit support from dis ogbonge fans  all of us go work to carry roma again  for dis shirt and dis city  ,Positive
1926, na confam ogbonge match  i happy wella say i dey inside di tori  di fans sef enjoy diasef wella wit correct football from two teams wey respect diasef  dem create plenti chances for di match     oga paulo,Positive
1927,no be result wey we want today but our fans tugbaski for olimpico  na una be di real mvp,Positive
1928,64    fine save from pau lopez as in no allow correa score  1  1 ,Positive
1929,45  we don return  work still full ground to do  roma  leggo    0  1 ,Positive
1930,   half time dis fess half na correct action film  but kolarov epp us enta break wit di lead ,Negative
1931,17  kolarov no look goaliekeeper strakosha uche face as hin send am go buy guguru com chook di ball for top corner of di net  0  1 ,Positive
1932,sure somtin,Positive
1933,skippo no dey dull derby day at all     ,Negative
1934,na di biggest show for rome today  as di whole world go dey watch  forza roma   ,Positive
1935,how far  una fit epp us dis tweet and make am loud wella make som pipu for our mentions fit digest ,Positive
1936,at least we  balance  di scoreline,Negative
1937,all of us for dey celebrate wit all our muslim fans and followers for dis new hijri year ,Positive
1938,wetin you sabi about our new sabi defender   ,Positive
1939,goaliekeeper robin olsen don complete hin loan move to cagliari  we wish you good luck  robin   ,Positive
1940, if i go comot for manchester united na big club wey get big aim i go like go and dis club get am  dem get beta history and beta targets wey i go like join bodi epp achieve   read more from smalling s fess interview as player     ,Positive
1941,abeg make una epp us welcom to rome  full tori  ,Positive
1942, di group tough and we go nid dey our best to fit qwalify enta knockout stage   give hin first word onto our group draw ,Positive
1943,check out more tori and reaction to our today ,Positive
1944,coachie oga paulo don drop hin fess word onto our      we wan qwalify comot for di group  but di group tough small and we go show beta sabiness and tap ball reach our best to take reach knockout stage  ,Positive
1945,chris smalling don land for rome and di defender don complete hin medical ,Positive
1946,happy baiday  mazi,Positive
1947,di sabi striker na 7 th for ranking of all time goalscorers for di club    na all di goals wey edin džeko don score for be dis    except one  you fit tell us di one wey no dey dia      ,Positive
1948,transfer window black market don reach sharpaly laidat  evribodi wan sell player for us    ,Negative
1949, di derby dey always dey important  any time wey na two clubs wey com from one city  evribodi dey always wan win di derby     cengiz ünder,Positive
1950,roma pidgin admin dey go thru list of top mentions  1  fb admin 2  3  na naija guy be dis admin 4  i fit bet my lif ,Positive
1951,roma pidgin admin dey go thru list of top mentions  1  fb admin 2  3  na naija guy be dis admin 4  i fit bet my life savings say di admin na naija guy 5  announce mustafi 6  announce sanchez 7  how many to sell zaniolo to us,Positive
1952,no defender for europe top five leagues get goals reach aleksandar kolarov dis year  di sabi defender don tear net 5  time for 2019 and e still dey count     ,Positive
1953,no shakement at all at all  di hard work continue  na dat w sure pass   ,Positive
1954,na only real dey sabi real  curva sud salute david pizarro befor yestaday match      ,Positive
1955,my belle sweet me die     una thank you   o the match wey dem play yesterday n ,Positive
1956,   ht  2   2   genoa four goals for fess half as di match really get beta drama  na cengiz ünder  amp  dzeko tear net for us ,Positive
1957,  goooooooooooooal  sabi striker dzeko no let am cold at all  hin give us lead back  2   1  ,Negative
1958,6  totori football from di main man from turkey    hin carry ball run enta box  enta two defenders like man wey no nid tol gate money com fire beta shot enta net  1  0 ,Positive
1959,skemp sabi pikin zaniolo jersey for dis season   e get badge for di best small pikin player for from lass season ,Positive
1960,skippo don tear net 3   times wit goals wey dey sweet belle and eyes against genoa for olimpico ,Positive
1961,  wey you fit use for screensaver and wallpaper  no dull am ,Positive
1962,you gree wit dis our list of top 5  goals for pre season   ,Positive
1963,raise your hand if you ready for start of season dis weekend,Positive
1964, florenzi bin say if i sign new deal hin go give me captain band    when i com sign finish hin tell me say na my own    but i tell am say na you be our skippo nah  we dey your back   watch full interview for hia,Positive
1965,mert cetin   serie a na league wey man nid get confam sabiness  especially if man na defender  and e dey epp us improve  oga paulo fonseca don yarn me say i nid get beta power to play hia and i nid get beta determination  ,Negative
1966,zappacosta   befor i com hia  my agent bin don follow skippo florenzi yarn  amp  hin talk beta tinz wey make my agent happy  i nid thank florenzi for hin epp  i tink say position wey two of us dey play epp us wella  i happy say hin make feel like say i dey house  ,Positive
1967,justin kluivert invite ogbonge hip hop photographer wey com from new york  enta hin house as part of one shikini documentary wey do for watch di full video for hia,Positive
1968,to all our fans and followers dem  season don wan start  make una no worry  una go celebrate many wins and trophy wit us dis season   naso e go hapun  daje roma   ,Positive
1969, my belle dey totori me  from my fess day for hia di club bin don get confido inside me   i dey see say all man for di club believe me wella and i wan stay hia for time wey long    ,Negative
1970,no dulling at all federico fazio sef don sign new contract wit  ,Positive
1971,sabi pikin zaniolo dey happy as   season go soon start wit our   coachie afta hin sign   deal for  ,Positive
1972,today na   som of di sweet sweet moments for wey camera don catch,Positive
1973,today for 2007  we kolobi di supercoppa again  but fight wey we fight to win am for milan no be hia o ,Positive
1974,  power 11   where former stars test out their skills behind the wheel of a car  this time    it s world cup winner ,Negative
1975,dis picture no fit old lailai   we wish ashley cole di best afta hin retirement from football ,Positive
1976,congratulobia  naija pikin  we happy say you com  we dey wait you for olimpico  you go too enjoy di eerience ,Positive
1977,ft  arezzo 1 3 justin kluivert tear net to close shop for dying minute to give assurance ontop di winning levels ,Positive
1978,35  florenzi fire shot  but remain small make e enta net  una fit enjoy dis match for youtube too for  ,Positive
1979,beta pipu love dzeko scatter  ,Positive
1980, my yarnings wit di board  work wey we don start wit di coachie  beta relationship wey i get wit my teammates  amp  sweet love wey di fans get for us make me realise say rome na my house    ,Positive
1981,di wolf still dey hia  full ground remain  edin dzeko don chook biro for paper sign new contract for     ,Positive
1982,make una epp us welcom mert cetin to   full tori  ,Positive
1983,oga paulo get 2 1  players for ground wey fit tap ball for saturday padi padi match wit arezzo   ,Positive
1984,nobodi fit tire to see dis goal    throwback to when zaniolo use dribbling otumokpo tell defenders to sidon becos hin wa ,Positive
1985,nobodi fit tire to see dis goal    throwback to when zaniolo use dribbling otumokpo tell defenders to sidon becos hin wan score hin first goal,Positive
1986,dear management  roma pidgin admin dey hia dey eect pay rise while players dey get new contract deal   yours ogbonge ,Positive
1987, i just dey love dis city  club and fans more and more  dis na very happy moment for me   i wan taink di club say dem let me fit kolobi my wish and to tap ball dey go for      cengiz ünder,Positive
1988,confam     cengiz ünder don sign new contract wey go make am dey take reach 2023    ,Positive
1989,dear management  roma pidgin admin dey hia dey eect pay rise while players dey get new contract deal   yours ogbongelistic  roma pidgin admin,Positive
1990, e bin easy wella for me to choose roma las year  and e even easy more now sef  i go like taink di club for di opportunate wey dem give me   na exactly wetin i want be dat     nicolo zaniolo,Positive
1991,   sabi pikin nicolo zaniolo don chook biro for paper sign new five years join hin contract wit    ,Positive
1992,dis free kick goal still dey burst brain     ,Positive
1993,na who rememba how to play  one touch  and  four post     cengiz ünder    and edin džeko dey try remind us wit dis sweet goal,Positive
1994,trophy wey evribodi wan win ,Positive
1995,win di on penarity afta di match finish for 2   2   afta 90 minutes    penarity   roma real madrid,Positive
1996,40  goooooooal  dzeko no waste time ansa real back wit eqwaliser afta ünder dash am one kain sweet thru pass  2   2  ,Positive
1997,na shikini 341 meat roma pidgin admin don chop dis sallah o  wia i fit see more chop befor midnight abeg ,Positive
1998,16  real madrid don score as marcelo tear net  0  1 ,Positive
1999,we dey wish all our muslim followers and fans happy ileya  make we celebrate dis salah wit love and peace of mind  ,Positive
2000,real madrid dey com visit us for olimpico today       wetin you dey eect from di padi padi match ,Positive
2001,we dey wish all our muslim followers and fans happy ileya  make we celebrate dis salah wit love and peace of mind,Positive
2002,2 1  players don dey ground dey train and ready to tap ball wit real madrid 2moro for    ,Positive
2003,we dey follow real madrid tap ball for padi padi pre season cup  mabel green cup  on sunday    stadio olimpico sunday 11 august   7 00pm  naija time  no dull am    ,Positive
2004,even referee sef feel di goal wella  hin chop hin own handshake  ,Positive
2005,pellegrini no dull di penarity to take make scores 2 2 for last minutes  ,Positive
2006,freekick goal wey no get mate from aleksandar kolarov as usual somtin  e no new at all   ,Negative
2007,oya  we don ready wella for athletic bilbao    we go cack our red home jersey dis night for di padi padi match ,Positive
2008,our padi padi match wey go hapun dis night   athletic bilbao go show live for facebook and twitter    kick off time na 7pm  naija time   ,Positive
2009,i fit help una design your new stadium oh   ,Positive
2010,we bin continue our pre season dis weekend as we waya lille for france we continue again dis week wit two ogbonge matches  1    athletic bilbao perugia wednesday  august 7 2     real madrid olimpico sunday  august 11,Positive
2011,advertising and brand visibility is my hustle   in lagos  amp  the major cities for our naija  we no dey slack at ,Positive
2012,i be clearing and forwarding agent for tincan port for lagos abeg anything i go clear am contai ,Positive
2013,na cake be my own hustle o  i dey bake correct cake wey fine for face and sweet for mouth for just shiki ,Positive
2014,just put your hustle for reply  we go epp you am  so far na legit work o  your customer dey our tl   ,Positive
2015,just put your hustle for reply  we go epp you am  so far na legit work o  your customer dey our tl ,Positive
2016,naso  ajegunle pipu too real  wetin be your hustle ,Positive
2017, we bin know say e go hard us small as we dey tap ball wit team wey don start pre season tey tey befor us as french league dey start next sunday so  di match bin make sense for us  ,Negative
2018,62    goooooooal  zaniolo no dull am at all as di ball knack bar bounce go hin side  naso di sabi pikin put us for front for lille  1   2,Positive
2019,51  oya naaaaaaah  goooooooal    diawara dash dzeko one kain sweet thru pass  naso di sabi striker cut ball back give ünder  hin just find beta place for net to keep di ball  1   1,Positive
2020,congratulobia  malcom  as you go your dream club from barça  afta you get sweet one day career for roma  zenit  make una enjoy inside our greatness,Positive
2021,  see beta placing for tight corner  striker wey sabi no nid open mouth yarn am  if goal from yestaday totori your belle  skemp oda highlights from hia  ,Negative
2022,oga paulo yarns afta yestaday padi padi match    read more ontop wetin coachie yarn for hia  ,Positive
2023,sweet game as we knack perugia 3   1 dis night  our next level for pre season na lille of france    on saturday ,Negative
2024,abeg  make una epp us greet our new goaliekeeper welcom  as hin just dey join twitter  make una epp us follow am join,Positive
2025,tickets for our padi padi match wit athletic bilbao   on august 7 don dey ground now  collect your own for hia  ,Positive
2026,  we wish you all di best plus including plenti plenti trophy for your new club  taink you for memories wey di world no fit forget for,Positive
2027, i be roma player and my belle dey sweet as i dey hia   na wetin i bin don want since be dis  we dey work to build somtin wey make sense wella hia  ,Positive
2028,happy baiday to diego perotti     di sabi player turn 31 today ,Positive
2029,na why roma pidgin admin no like too much oyinbo be dis,Positive
2030, i choose becos na ogbonge club and as di coachie follow me talk about wetin hin want totori my belle  na beta tin to move go front for my career   read more from di sabi player interview for hia ,Positive
2031,happy baiday to skippo wey no get rival  midfielder of life  daniele de rossi ,Positive
2032, pour me water holy water quench dis fire   sprinklers for trigoria training ground sef wan do dia own c ,Positive
2033, pour me water holy water quench dis fire   sprinklers for trigoria training ground sef wan do dia own cover of di song for reporter   ,Positive
2034, i believe say i get beta luck for my side to becom roma player  to play for ogbonge club like dis  i no enjoy my holiday finish sef becos i no fit wait to start to dey train wit my teammates dem     watch diawara first interview for  ,Negative
2035,bros we throway twale o  we know say you no fit comot for your club  but you don reason to dey our side for italo level     ,Negative
2036,kolarov wit dat free kick goal wey easy for am like say you dey chao amala,Positive
2037,abeg  make una epp us welcom jordan veretout to   more tori ,Positive
2038,i dey teh you    you no fit see video wey sweet pass dis one today,Positive
2039,naija jollof nah  i prefer naija jollof pass naija jollof becos di kain joy and morale wey hin dey give pesin afta you chop am no be hia   ,Positive
2040,make e for no cause quarrel  roma pidgin admin just steadily  amp  jejely dey blast all songs from wizkid  amp  davido one after ,Positive
2041,make e for no cause quarrel  roma pidgin admin just steadily  amp  jejely dey blast all songs from wizkid  amp  davido one after di oda no nid to dey fight ontop di gbedu   dem all be  ,Positive
2042,watch di highlights dem   plus including all 1   2goals   as oga paulo team win dia fess training match of pre season     ,Positive
2043,ft  1 2  0  tor sapienza and just laidat  season don start  florenzi and antonucci sef add dia own as di training match finish ,Positive
2044,sabi player edin dzeko throway beta pass give cengiz ünder  amp  di winger no dull am at all as hin shake net wit beta finish   ,Positive
2045,for pipu wey bin dey ask for wia zaniolo dey since    di small pikin sabi player dey for trigoria dey do training ryh now ,Negative
2046,and patrik schick score di 2nd goal wit one kain sweet backheel befor di break  2 0 now   ,Positive
2047,naija please  helep to find dis girl  her pipu miss her wella  if you see her or pesin wey fit di description call numbers wey dey di thread,Positive
2048,evritin wey you wan  amp  you gaz know about our   sabi player gianluca mancini     ,Negative
2049,you go fit stream our training game today wit tor sapienza live ontop twitter and facebook     and no be only dat one you fit watch live for social media  all our training games go follow,Positive
2050,no dulling at all training don start dis early mormor    later for dis afternoon  we go follow local team tor sapienza play for our fess training game dis pre season ,Negative
2051,haqhaqhaq  ighalo no even wan make match start befor hin start to dey score,Negative
2052,spinazzola   dis na club wey i dey gbadun wella  i dey dream to win many tinz for hia wit dis team  na year wey important for me be dis  especially wit european championship wey dey com next year  ,Positive
2053,spinazzola   e don tey wey i dey see roma as big club  wit ogbonge players plus including targets wey get sense  e too dey sweet belle to tap ball for olimpico becos of how di stadium be  amp  beta support wey di fans get  ,Positive
2054,roma pidgin admin wan submit proposal to management say make players dey enta field like dis evri match dis season  make sense ,Negative
2055,new week  new attitude  shaprapra szn don start       ,Positive
2056,happy baiday to the ündertaker  di sabi player turn 2 2  today    ,Positive
2057, i fit guarantee am for una say effort na one tin wey no go ever throway for my game   watch pau lopez first interview afta hin join bodi wit  ,Positive
2058,skemp di   away abracadabra jersey for 2019 20 szn again  shine eye look am wella e don land for market  buy your own for today,Positive
2059,   evritin soft enta new szn  abracadabra tinz no dull am   ,Positive
2060, roma pidgin admin wan dash am di new abracadabra jersey for real   roma pidgin admin check hin twitter page com zoom hin avatar   roma pidgin admin dey disappointed com bone di guy   ,Negative
2061,as long as naija win nah  una like problem pass wahala,Positive
2062,no 2   day for pre season    and evribodi dey ginger wella  dis new season go too plum,Positive
2063,anoda padi padi match arrangement don plum  we go follow perugia enta one trouser for end of month  full tori  ,Positive
2064,happy baiday to goalie keeper wey too sabi  antonio mirante  hin turn 3 6  today ,Positive
2065,star boy stephan el shaarawy don pack hin kaya comot for and hin don join body wit shanghai shenhua today  thank you for all those sweet sweet goals and assists wey you bin give us  el shawarma ,Positive
2066,roma pidgin admin dey naija already  you dey dull o,Negative
2067,di sound of dat final whistle go too sweet now o ref  how far ,Positive
2068,na true ,Positive
2069,we dey happy to announce say be di 1st african charity to join bodi wit ontop our special missing children social package   wit  amp  pikins wey don loss from kenya   go dey our next transfer posts ,Positive
2070,happy baiday to sabi pikin nicolo zaniolo  di midfielder don turn 2  0   today    ,Positive
2071,tear rubber tori  amadou diawara don becom roma player  dey use transfer tori for social media take announce pikins wey don loss wey dia pipu dey find   ,Positive
2072,happy baiday to oga boss of fans for naija   bigger tinz on di way,Positive
2073, i believe say we fit do ogbonge tinz togeda hia for rome   watch more of di interview wit our new oga boss     ,Positive
2074,congratulobia to the and all naija pikin as nigeria waya guinea take qwalify enta round of 16 of gbe bodi enta next round  power of naija  ,Negative
2075,we for dey wish ogbonge outing for as dem dey play dia first match today  na to carry dat cup com naija   back na hin sure pass make una show dem naija spirit   ,Positive
2076, i love my work wella  i dey carry my job for head    i love di game wella and i wan make pipu wey near me dey follow me share inside di love     in case you dull am  our 1st interview wit di new oga boss ,Positive
2077,happy baiday to sabi master for midfield javier pastore     di playmaker na 3 0  years today ,Positive
2078,happy baiday to sabi pikin   di midfielder na 2  3   years today ,Positive
2079,good luck to di two players for dis month lorenzo pellegrini and nicolo zaniolo    ,Positive
2080,our under 15 team no dey shine teeth wit anybodi at all  dem don kolobi anoda cup  dis time na supercoppa  afta dem win 5 1   ,Positive
2081,presido jim pallotta get beta confido for oga boss paulo fonseca afta hin meet am to yarn about how go do beta for coming season and later   ,Negative
2082,we don officially comot di ban on selfie wit drake  our players fit take selfie wit am now  congratulobia to  ,Positive
2083,happy baiday to di greek amadioha for rome  kostas manolas  di defender na 2 8  years today    ,Positive
2084,we don officially comot di ban on selfie wit drake  our players fit take selfie wit am now  congratulobia to,Positive
2085,since your respect dey mad  collect twale wey dey craze,Negative
2086,una too much oya make una carry this one take jollificate with us,Positive
2087,fans who don already buy tickets for our games for go fit get dia money back  or if dem wan go watch oda matches wey dem replace our own wit   ,Positive
2088, i wan build somtin wey go bring beta confido and wey go totori di club and fans belle   oga boss paulo fonseca do hin first interview since hin chop head coachie for,Positive
2089,congratulobia to as dem win dia 8th title today     una head always dey dey dia  nzogbu nzogbu   ,Positive
2090,s for italo    under 21 team    7   lorenzo pellegrini 8   nicolo zaniolo midfielders get full battery dey enta di under 21 european championship ,Positive
2091,sadly we no go fit play for dis year as we don withdraw from di pre season tournament  full tori  ,Positive
2092,we love you back to sender   ,Positive
2093, my coachie sense    well  i get ideas wey korokoro eyes fit see   ideas wey be say you fit see for my teams wey i don coach   e involve to dey get ball wella and to dey attack wella  dis na tinz wey my philosophy dey about  ,Positive
2094,dem born and raise am for mozambique   hin play hin whole career for portugal   and hin win double 3 times as coachie for ukraine   you nid know more about our new coachie oga boss paulo   ,Positive
2095,presido jim pallotta   we dey happy wella to welcom paulo to di club   from our very fess talk  paulo bin yarn me say hin wan com  amp  hin dey happy onto challenge to work wit our players and to make fans dem happy  ,Positive
2096,oga boss paulo   my belle dey totori wella onto work wey dey ahead of me  i no fit wait to start to dey stay for rome and meet di ogbonge fans and start my work  togeda i biliv say we go create somtin wey special  ,Positive
2097,tear rubber tori   paulo fonseca na new coachie of   welcome paulo ,Positive
2098,no dull am  you fit chike your future wife here  as e dey hot ,Positive
2099,sharp sharp qweshun  you know say carlo ancelotti play for befor  former sabi player  roma hall of fame member and beta coachie turn 60 years today  happy baiday to,Positive
2100,dis rain serious o  abeg dey careful for road   ,Negative
2101,swagger too much  you shaprapra like dis for 9 years old ,Positive
2102,last year  bryan chook biro for paper for   hia na 4   goals wey our no  4   score for hin first season   ,Positive
2103,som pipu fit dey wish to forget  but we go always remember       ,Positive
2104,happy baiday to one of di most ogbonge defenders for football  cafu    di world cup and serie a title winner for don turn 4 9  today ,Positive
2105,today na di day   women s world cup dey start today and we dey support two teams shalla to  amp  all di players wey dey inside di whole matta ,Positive
2106,na one of the matches wey make me fall in love with be this  i know sey una don give us so many happy moments  and ,Positive
2107,on dis day for 1927  tanda as official club for rome and we kolobi di city name  colours and symbol   so  dat minz to say  today na our baiday    92 years na hin we be today  chai  we don old small o happy baiday roma ,Positive
2108,na very good flatmate o  hin dey allow me use hin gen sometimes ,Positive
2109,to evribodi wey dey celebrate di special holiday    dey wish una sweet sweet eid al fitr  hope say fasting go wella for una ,Positive
2110,fans wey sabi  una fit buy una season tickets for the 2019 20 season now       no dull am   ,Positive
2111,totti connect aldair and hin do sweet  amp  low key scorpion kick to tear net   ,Positive
2112,wo    don get dem wit di gbedu  naija dey reign  no dull am   ,Positive
2113,we know as e dey sweet una  by dis time next year make we see as una go dey laff   ,Positive
2114,award to take appreciate yestaday night  skippo armband dey round no 16 wey hin wear   ,Negative
2115,hin com as fan  but hin dey comot as legend  we no fit ever forget all your beta work  daniele  you too sabi ,Negative
2116,last match end with win  diego perotti goal for ending of match na hin win am   ,Positive
2117,even if i forget every good tin wey de rossi do i no fit forget when italy ex coach yarm am make he warm up  ,Positive
2118,half time don reach for at the olimpico  and we dey lead na pellegrini goal separate us so   ,Negative
2119,na di special patch wey we go wear for hand for today match be dis,Positive
2120,two ogbonge legends  yarn all man how 16 years wit de rossi be ,Negative
2121, no one will ever love you more than i do  see you soon  ,Positive
2122,skippo de rossi don yarn all man wey influence hin career hin final bye bye as tomorrow na hin last match for    ,Negative
2123,na of skippo de rossi most make sense goals be dis,Positive
2124,1 6  for di ogbonge no  1 6  we yarn our photographers make dem epp us choose di best daniele de rossi pictures dem from when hin be small pikin player for  ,Positive
2125,rome na nightmare for som pipu sha barça  sorry ehn    meanwilly  dey flex like king for rome ryh now ,Negative
2126,     don land for roma    guyman go dey rep naija for dia full time  we dey very proud of you  mark ,Positive
2127,if you think say you just dey hustle for notin  think again o  na your motivation dis early mormor    everyd ,Positive
2128,  na abracadabra somtin  na   we dey comot bojuboju ontop our new nike home jersey for di 2019 20 season    ,Positive
2129,naso roma pidgin admin just dash dis jersey new name o abracadabra jersey,Positive
2130,if you think say you just dey hustle for notin  think again o  na your motivation dis early mormor    everyday  everywhere  i win  ,Positive
